date,symbol,time_point,time_idx,output_name,value
2025-01-06,300947,14:00:00.000,18,output_7,0.10088868298304648
2025-01-06,300947,14:10:00.000,19,output_7,0.033824193377523876
2025-01-06,300947,14:20:00.000,20,output_7,0.0288854347406647
2025-01-06,300947,14:30:00.000,21,output_7,0.017141667146991117
2025-01-06,300947,14:40:00.000,22,output_7,0.04978547777931623
2025-01-06,300947,14:50:00.000,23,output_7,0.06855677487900072
2025-01-06,300947,14:56:00.000,24,output_7,0.0646570412672878
2025-01-06,300947,14:57:05.000,25,output_7,0.012295357449356193
2025-01-06,300947,15:05:00.000,26,output_7,0.0
2025-01-06,301005,09:31:00.000,0,output_7,0.2576928201354068
2025-01-06,301005,09:40:00.000,1,output_7,0.23527769827459505
2025-01-06,301005,09:50:00.000,2,output_7,0.14249440867248325
2025-01-06,301005,10:00:00.000,3,output_7,0.05288417184927274
2025-01-06,301005,10:10:00.000,4,output_7,0.1094040460084498
2025-01-06,301005,10:20:00.000,5,output_7,0.04496076297455033
2025-01-06,301005,10:30:00.000,6,output_7,0.0443312898093599
2025-01-06,301005,10:40:00.000,7,output_7,0.05999843848431942
2025-01-06,301005,10:50:00.000,8,output_7,0.023371723475044487
2025-01-06,301005,11:00:00.000,9,output_7,0.018940586069916065
2025-01-06,301005,11:10:00.000,10,output_7,0.03787790725314367
2025-01-06,301005,11:20:00.000,11,output_7,0.06127610159269551
2025-01-06,301005,11:30:05.000,12,output_7,0.08226889587740414
2025-01-06,301005,13:10:00.000,13,output_7,0.05013157556480106
2025-01-06,301005,13:20:00.000,14,output_7,0.033425096905988036
2025-01-06,301005,13:30:00.000,15,output_7,0.026942051255874188
2025-01-06,301005,13:40:00.000,16,output_7,0.010706814030802207
2025-01-06,301005,13:50:00.000,17,output_7,0.02020014794529015
2025-01-06,301005,14:00:00.000,18,output_7,0.02356402253212631
2025-01-06,301005,14:10:00.000,19,output_7,0.08036415722399307
2025-01-06,301005,14:20:00.000,20,output_7,0.011189170733495254
2025-01-06,301005,14:30:00.000,21,output_7,0.006215041372505937
2025-01-06,301005,14:40:00.000,22,output_7,0.016079286885951772
2025-01-06,301005,14:50:00.000,23,output_7,0.04909532439238366
2025-01-06,301005,14:56:00.000,24,output_7,0.014551528715285476
2025-01-06,301005,14:57:05.000,25,output_7,0.010307764064042987
2025-01-06,301005,15:05:00.000,26,output_7,0.0
2025-01-06,301552,09:31:00.000,0,output_7,0.2634438740453785
2025-01-06,301552,09:40:00.000,1,output_7,0.3922806008861073
2025-01-06,301552,09:50:00.000,2,output_7,0.14454589480214478
2025-01-06,301552,10:00:00.000,3,output_7,0.14366649458017403
2025-01-06,301552,10:10:00.000,4,output_7,0.33502072980649805
2025-01-06,301552,10:20:00.000,5,output_7,0.11260805328049962
2025-01-06,301552,10:30:00.000,6,output_7,0.08742743312714904
2025-01-06,301552,10:40:00.000,7,output_7,0.18809747565490556
2025-01-06,301552,10:50:00.000,8,output_7,0.13635796395928756
2025-01-06,301552,11:00:00.000,9,output_7,0.09748037875605982
2025-01-06,301552,11:10:00.000,10,output_7,0.061601565889479716
2025-01-06,301552,11:20:00.000,11,output_7,0.15421238584603839
2025-01-06,301552,11:30:05.000,12,output_7,0.11011999105238278
2025-01-06,301552,13:10:00.000,13,output_7,0.09815324792139764
2025-01-06,301552,13:20:00.000,14,output_7,0.10256526228466761
2025-01-06,301552,13:30:00.000,15,output_7,0.05454398192588959
2025-01-06,301552,13:40:00.000,16,output_7,0.10140776939484769
2025-01-06,301552,13:50:00.000,17,output_7,0.10756178447786897
2025-01-06,301552,14:00:00.000,18,output_7,0.0680975822019772
2025-01-06,301552,14:10:00.000,19,output_7,0.08379923907851622
2025-01-06,301552,14:20:00.000,20,output_7,0.10188410510432791
2025-01-06,301552,14:30:00.000,21,output_7,0.06749447645754829
2025-01-06,301552,14:40:00.000,22,output_7,0.10033079312226291
2025-01-06,301552,14:50:00.000,23,output_7,0.11039697963689594
2025-01-06,301552,14:56:00.000,24,output_7,0.04151261359953218
2025-01-06,301552,14:57:05.000,25,output_7,0.049725295796173415
2025-01-06,301552,15:05:00.000,26,output_7,0.0
2025-01-06,301578,09:31:00.000,0,output_7,0.36813262041166966
2025-01-06,301578,09:40:00.000,1,output_7,0.5093074629907329
2025-01-06,301578,09:50:00.000,2,output_7,0.16708381089741467
2025-01-06,301578,10:00:00.000,3,output_7,0.16393182122504688
2025-01-06,301578,10:10:00.000,4,output_7,0.1677795343180339
2025-01-06,301578,10:20:00.000,5,output_7,0.11338572266512573
2025-01-06,301578,10:30:00.000,6,output_7,0.07259834451810242
2025-01-06,301578,10:40:00.000,7,output_7,0.22628864755994657
2025-01-06,301578,10:50:00.000,8,output_7,0.07403871060136318
2025-01-06,301578,11:00:00.000,9,output_7,0.04766240291333324
2025-01-06,301578,11:10:00.000,10,output_7,0.10396559496636616
2025-01-06,301578,11:20:00.000,11,output_7,0.07569810726087997
2025-01-06,301578,11:30:05.000,12,output_7,0.12802952998943443
2025-01-06,301578,13:10:00.000,13,output_7,0.06395763400383606
2025-01-06,301578,13:20:00.000,14,output_7,0.09342170246132551
2025-01-06,301578,13:30:00.000,15,output_7,0.09172714682071462
2025-01-06,301578,13:40:00.000,16,output_7,0.02616929013236379
2025-01-06,301578,13:50:00.000,17,output_7,0.08654407443441299
2025-01-06,301578,14:00:00.000,18,output_7,0.0579516207025517
2025-01-06,301578,14:10:00.000,19,output_7,0.07270362311992798
2025-01-06,301578,14:20:00.000,20,output_7,0.06174621394635545
2025-01-06,301578,14:30:00.000,21,output_7,0.03337138509610649
2025-01-06,301578,14:40:00.000,22,output_7,0.09221549801944863
2025-01-06,301578,14:50:00.000,23,output_7,0.14641894949743003
2025-01-06,301578,14:56:00.000,24,output_7,0.04999326687339207
2025-01-06,301578,14:57:05.000,25,output_7,0.006310850959013718
2025-01-06,301578,15:05:00.000,26,output_7,0.0
2025-01-02,000690,09:31:00.000,0,output_8,4.487965012495537
2025-01-02,000690,09:40:00.000,1,output_8,4.480626157833435
2025-01-02,000690,09:50:00.000,2,output_8,4.485041935723299
2025-01-02,000690,10:00:00.000,3,output_8,4.465705141441256
2025-01-02,000690,10:10:00.000,4,output_8,4.455996210925166
2025-01-02,000690,10:20:00.000,5,output_8,4.437161284699525
2025-01-02,000690,10:30:00.000,6,output_8,4.436274734982332
2025-01-02,000690,10:40:00.000,7,output_8,4.443585662363705
2025-01-02,000690,10:50:00.000,8,output_8,4.440516897138209
2025-01-02,000690,11:00:00.000,9,output_8,4.445810194778284
2025-01-02,000690,11:10:00.000,10,output_8,4.440800316062761
2025-01-02,000690,11:20:00.000,11,output_8,4.428934106770598
2025-01-02,000690,11:30:05.000,12,output_8,4.417092095721538
2025-01-02,000690,13:10:00.000,13,output_8,4.41304672002189
2025-01-02,000690,13:20:00.000,14,output_8,4.403444474761256
2025-01-02,000690,13:30:00.000,15,output_8,4.3900231976069835
2025-01-02,000690,13:40:00.000,16,output_8,4.388670937398638
2025-01-02,000690,13:50:00.000,17,output_8,4.379088178359255
2025-01-02,000690,14:00:00.000,18,output_8,4.367773128510834
2025-01-02,000690,14:10:00.000,19,output_8,4.363681770468859
2025-01-02,000690,14:20:00.000,20,output_8,4.344181738222198
2025-01-02,000690,14:30:00.000,21,output_8,4.347967942088935
2025-01-02,000690,14:40:00.000,22,output_8,4.33804872801592
2025-01-02,000690,14:50:00.000,23,output_8,4.322460795454545
2025-01-02,000690,14:56:00.000,24,output_8,4.3287972665148065
2025-01-02,000690,14:57:05.000,25,output_8,4.329246275197195
2025-01-02,000690,15:05:00.000,26,output_8,4.34
2025-01-02,001389,09:31:00.000,0,output_8,49.93483524355301
2025-01-02,001389,09:40:00.000,1,output_8,49.832440150686594
2025-01-02,001389,09:50:00.000,2,output_8,50.00795884315907
2025-01-02,001389,10:00:00.000,3,output_8,50.03143631436314
2025-01-02,001389,10:10:00.000,4,output_8,49.82899333333334
2025-01-02,001389,10:20:00.000,5,output_8,49.647887811155236
2025-01-02,001389,10:30:00.000,6,output_8,49.79823622111287
2025-01-02,001389,10:40:00.000,7,output_8,49.76538461538462
2025-01-02,001389,10:50:00.000,8,output_8,50.17183699870634
2025-01-02,001389,11:00:00.000,9,output_8,50.473817157712304
2025-01-02,001389,11:10:00.000,10,output_8,50.69189226519337
2025-01-02,001389,11:20:00.000,11,output_8,50.6752222817354
2025-01-02,001389,11:30:05.000,12,output_8,50.63441929133858
2025-01-02,001389,13:10:00.000,13,output_8,50.29907859078591
2025-01-02,001389,13:20:00.000,14,output_8,50.15687140115163
2025-01-02,001389,13:30:00.000,15,output_8,50.07650452488688
2025-01-02,001389,13:40:00.000,16,output_8,50.52422091722866
2025-01-02,001389,13:50:00.000,17,output_8,50.4051712457659
2025-01-02,001389,14:00:00.000,18,output_8,50.555977626459146
2025-01-02,001389,14:10:00.000,19,output_8,50.47875545523853
2025-01-02,001389,14:20:00.000,20,output_8,50.088359083644114
2025-01-02,001389,14:30:00.000,21,output_8,50.137972544878565
2025-01-02,001389,14:40:00.000,22,output_8,49.74361604584527
2025-01-02,001389,14:50:00.000,23,output_8,49.535684667309546
2025-01-02,001389,14:56:00.000,24,output_8,49.84520963425513
2025-01-02,001389,14:57:05.000,25,output_8,50.10635071090047
2025-01-02,001389,15:05:00.000,26,output_8,50.1
2025-01-02,002782,09:31:00.000,0,output_8,12.405940905323863
2025-01-02,002782,09:40:00.000,1,output_8,12.38345776243392
2025-01-02,002782,09:50:00.000,2,output_8,12.509610778443113
2025-01-02,002782,10:00:00.000,3,output_8,12.620520088976997
2025-01-02,002782,10:10:00.000,4,output_8,12.561447084233262
2025-01-02,002782,10:20:00.000,5,output_8,12.514086989126358
2025-01-02,002782,10:30:00.000,6,output_8,12.625376538740044
2025-01-02,002782,10:40:00.000,7,output_8,12.689511295527893
2025-01-02,002782,10:50:00.000,8,output_8,12.670518739141226
2025-01-02,002782,11:00:00.000,9,output_8,12.853524477447746
2025-01-02,002782,11:10:00.000,10,output_8,12.779982230119947
2025-01-02,002782,11:20:00.000,11,output_8,12.734019784172661
2025-01-02,002782,11:30:05.000,12,output_8,12.753882352941176
2025-01-02,002782,13:10:00.000,13,output_8,12.676476793248945
2025-01-02,002782,13:20:00.000,14,output_8,12.639026512013256
2025-01-02,002782,13:30:00.000,15,output_8,12.565910512388742
2025-01-02,002782,13:40:00.000,16,output_8,12.555342544617156
2025-01-02,002782,13:50:00.000,17,output_8,12.49562037037037
2025-01-02,002782,14:00:00.000,18,output_8,12.442349709114415
2025-01-02,002782,14:10:00.000,19,output_8,12.420492724023488
2025-01-02,002782,14:20:00.000,20,output_8,12.282541376828975
2025-01-02,002782,14:30:00.000,21,output_8,12.29591554423007
2025-01-02,002782,14:40:00.000,22,output_8,12.231426099495314
2025-01-02,002782,14:50:00.000,23,output_8,12.186211340206185
2025-01-02,002782,14:56:00.000,24,output_8,12.25883179170949
2025-01-02,002782,14:57:05.000,25,output_8,12.30730870712401
2025-01-02,002782,15:05:00.000,26,output_8,12.33
2025-01-02,002852,09:31:00.000,0,output_8,8.284089361702128
2025-01-02,002852,09:40:00.000,1,output_8,8.363821381100728
2025-01-02,002852,09:50:00.000,2,output_8,8.444385227849077
2025-01-02,002852,10:00:00.000,3,output_8,8.464515467171717
2025-01-02,002852,10:10:00.000,4,output_8,8.456971476510066
2025-01-02,002852,10:20:00.000,5,output_8,8.462836581709146
2025-01-02,002852,10:30:00.000,6,output_8,8.497773804202057
2025-01-02,002852,10:40:00.000,7,output_8,8.516204835642489
2025-01-02,002852,10:50:00.000,8,output_8,8.497823631624675
2025-01-02,002852,11:00:00.000,9,output_8,8.473475646422129
2025-01-02,002852,11:10:00.000,10,output_8,8.502549824150059
2025-01-02,002852,11:20:00.000,11,output_8,8.465692913385826
2025-01-02,002852,11:30:05.000,12,output_8,8.445383244206774
2025-01-02,002852,13:10:00.000,13,output_8,8.434709542137426
2025-01-02,002852,13:20:00.000,14,output_8,8.407325631151048
2025-01-02,002852,13:30:00.000,15,output_8,8.353954759672774
2025-01-02,002852,13:40:00.000,16,output_8,8.354850573105066
2025-01-02,002852,13:50:00.000,17,output_8,8.32525284738041
2025-01-02,002852,14:00:00.000,18,output_8,8.279320875113948
2025-01-02,002852,14:10:00.000,19,output_8,8.28768479776848
2025-01-02,002852,14:20:00.000,20,output_8,8.230968461293406
2025-01-02,002852,14:30:00.000,21,output_8,8.250412912912912
2025-01-02,002852,14:40:00.000,22,output_8,8.213030477285796
2025-01-02,002852,14:50:00.000,23,output_8,8.172292861667051
2025-01-02,002852,14:56:00.000,24,output_8,8.208015726179463
2025-01-02,002852,14:57:05.000,25,output_8,8.22498759305211
2025-01-02,002852,15:05:00.000,26,output_8,8.23
2025-01-02,300046,09:31:00.000,0,output_8,35.6575620835857
2025-01-02,300046,09:40:00.000,1,output_8,34.7036091379734
2025-01-02,300046,09:50:00.000,2,output_8,34.94805826037149
2025-01-02,300046,10:00:00.000,3,output_8,35.093981310059064
2025-01-02,300046,10:10:00.000,4,output_8,35.000582025387295
2025-01-02,300046,10:20:00.000,5,output_8,34.9552
2025-01-02,300046,10:30:00.000,6,output_8,35.128909508950564
2025-01-02,300046,10:40:00.000,7,output_8,34.9330757269476
2025-01-02,300046,10:50:00.000,8,output_8,34.77041871575102
2025-01-02,300046,11:00:00.000,9,output_8,34.906362023070095
2025-01-02,300046,11:10:00.000,10,output_8,34.74814823366428
2025-01-02,300046,11:20:00.000,11,output_8,34.55814645726808
2025-01-02,300046,11:30:05.000,12,output_8,34.51263982380564
2025-01-02,300046,13:10:00.000,13,output_8,34.38198257867739
2025-01-02,300046,13:20:00.000,14,output_8,34.23066003832665
2025-01-02,300046,13:30:00.000,15,output_8,33.995244148813946
2025-01-02,300046,13:40:00.000,16,output_8,34.14109189189189
2025-01-02,300046,13:50:00.000,17,output_8,33.986544
2025-01-02,300046,14:00:00.000,18,output_8,33.96125299600533
2025-01-02,300046,14:10:00.000,19,output_8,34.08372850678733
2025-01-02,300046,14:20:00.000,20,output_8,33.70921949362269
2025-01-02,300046,14:30:00.000,21,output_8,33.83673205463528
2025-01-02,300046,14:40:00.000,22,output_8,33.56135979952178
2025-01-02,300046,14:50:00.000,23,output_8,33.37921905691995
2025-01-02,300046,14:56:00.000,24,output_8,33.59933600457928
2025-01-02,300046,14:57:05.000,25,output_8,33.66859144263537
2025-01-02,300046,15:05:00.000,26,output_8,33.75
2025-01-02,300100,09:31:00.000,0,output_8,27.647871784565915
2025-01-02,300100,09:40:00.000,1,output_8,27.23349022817968
2025-01-02,300100,09:50:00.000,2,output_8,27.59091167320438
2025-01-02,300100,10:00:00.000,3,output_8,27.956901468268413
2025-01-02,300100,10:10:00.000,4,output_8,28.05546903967371
2025-01-02,300100,10:20:00.000,5,output_8,28.23655744533148
2025-01-02,300100,10:30:00.000,6,output_8,28.41604494941118
2025-01-02,300100,10:40:00.000,7,output_8,28.696013753043182
2025-01-02,300100,10:50:00.000,8,output_8,28.84722958529286
2025-01-02,300100,11:00:00.000,9,output_8,29.319506943750625
2025-01-02,300100,11:10:00.000,10,output_8,28.99292042398355
2025-01-02,300100,11:20:00.000,11,output_8,28.87626911348258
2025-01-02,300100,11:30:05.000,12,output_8,28.845295981323996
2025-01-02,300100,13:10:00.000,13,output_8,28.681017409359526
2025-01-02,300100,13:20:00.000,14,output_8,28.699297820823244
2025-01-02,300100,13:30:00.000,15,output_8,28.586537075729026
2025-01-02,300100,13:40:00.000,16,output_8,28.782182664339732
2025-01-02,300100,13:50:00.000,17,output_8,28.644780150753768
2025-01-02,300100,14:00:00.000,18,output_8,28.665756701730572
2025-01-02,300100,14:10:00.000,19,output_8,28.65651567239636
2025-01-02,300100,14:20:00.000,20,output_8,28.464007034632036
2025-01-02,300100,14:30:00.000,21,output_8,28.564338383838383
2025-01-02,300100,14:40:00.000,22,output_8,28.357706146926535
2025-01-02,300100,14:50:00.000,23,output_8,28.20699992267842
2025-01-02,300100,14:56:00.000,24,output_8,28.316359798167028
2025-01-02,300100,14:57:05.000,25,output_8,28.369949863263447
2025-01-02,300100,15:05:00.000,26,output_8,28.38
